genre,Canada,France,Germany,India,Japan,Mexico,South Korea,Spain,United Kingdom,United States
Action & Adventure,44.0,37.0,33.0,137.0,57.0,9.0,17.0,10.0,84.0,404.0
Anime Features,,,,,61.0,,,,,7.0
Anime Series,2.0,,,,139.0,,,1.0,,18.0
British TV Shows,3.0,2.0,6.0,3.0,1.0,,,5.0,208.0,23.0
Children & Family Movies,80.0,23.0,17.0,26.0,19.0,5.0,10.0,9.0,46.0,390.0
Classic & Cult TV,3.0,,,,,2.0,,,6.0,11.0
Classic Movies,,6.0,,11.0,3.0,1.0,,1.0,16.0,81.0
Comedies,94.0,51.0,42.0,323.0,9.0,24.0,17.0,47.0,91.0,680.0
Crime TV Shows,14.0,22.0,14.0,9.0,15.0,32.0,24.0,27.0,45.0,140.0
Cult Movies,6.0,2.0,4.0,5.0,1.0,,1.0,,7.0,52.0
Documentaries,42.0,44.0,21.0,27.0,7.0,18.0,2.0,21.0,128.0,512.0
Docuseries,9.0,7.0,8.0,9.0,2.0,3.0,,9.0,85.0,183.0
Dramas,82.0,167.0,80.0,662.0,23.0,44.0,26.0,76.0,197.0,835.0
Faith & Spirituality,3.0,3.0,1.0,4.0,,1.0,,3.0,5.0,42.0
Horror Movies,36.0,10.0,7.0,35.0,4.0,8.0,5.0,10.0,28.0,201.0
Independent Movies,44.0,73.0,31.0,167.0,7.0,23.0,2.0,20.0,74.0,390.0
International Movies,60.0,207.0,94.0,864.0,72.0,70.0,44.0,140.0,170.0,166.0
International TV Shows,24.0,43.0,34.0,65.0,149.0,43.0,149.0,51.0,123.0,71.0
Kids' TV,58.0,40.0,8.0,12.0,28.0,4.0,14.0,3.0,42.0,208.0
Korean TV Shows,1.0,,,,,,128.0,,,3.0
LGBTQ Movies,6.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,7.0,63.0
Movies,5.0,1.0,2.0,,2.0,1.0,1.0,3.0,4.0,22.0
Music & Musicals,14.0,8.0,8.0,96.0,6.0,3.0,1.0,6.0,36.0,147.0
Reality TV,7.0,2.0,3.0,6.0,9.0,3.0,3.0,3.0,33.0,121.0
Romantic Movies,25.0,22.0,10.0,120.0,7.0,8.0,2.0,11.0,38.0,225.0
Romantic TV Shows,1.0,2.0,1.0,11.0,21.0,5.0,77.0,7.0,10.0,42.0
Sci-Fi & Fantasy,28.0,10.0,13.0,12.0,9.0,6.0,5.0,11.0,35.0,181.0
Science & Nature TV,3.0,1.0,3.0,,,,,1.0,25.0,47.0
Spanish-Language TV Shows,,,,,,47.0,,38.0,1.0,26.0
Sports Movies,13.0,12.0,5.0,17.0,1.0,3.0,,5.0,21.0,113.0
Stand-Up Comedy,2.0,5.0,5.0,6.0,,18.0,2.0,1.0,21.0,216.0
Stand-Up Comedy & Talk Shows,,1.0,1.0,3.0,1.0,1.0,3.0,,1.0,32.0
TV Action & Adventure,10.0,5.0,2.0,5.0,5.0,7.0,9.0,3.0,8.0,89.0
TV Comedies,27.0,23.0,5.0,26.0,10.0,4.0,18.0,4.0,37.0,241.0
TV Dramas,28.0,27.0,18.0,27.0,21.0,12.0,38.0,11.0,33.0,215.0
TV Horror,5.0,3.0,,7.0,5.0,,3.0,,2.0,36.0
TV Mysteries,7.0,2.0,2.0,2.0,4.0,,3.0,,2.0,49.0
TV Sci-Fi & Fantasy,8.0,1.0,1.0,3.0,,1.0,,,4.0,59.0
TV Shows,,,,3.0,1.0,,,,,4.0
TV Thrillers,5.0,2.0,,3.0,6.0,,1.0,,2.0,26.0
Teen TV Shows,2.0,,,1.0,14.0,,,1.0,,32.0
Thrillers,49.0,44.0,28.0,92.0,5.0,2.0,14.0,38.0,61.0,292.0
