genre,country,count
Comedies,Canada,94
Dramas,Canada,82
Children & Family Movies,Canada,80
International Movies,France,207
Dramas,France,167
Independent Movies,France,73
International Movies,Germany,94
Dramas,Germany,80
Comedies,Germany,42
International Movies,India,864
Dramas,India,662
Comedies,India,323
International TV Shows,Japan,149
Anime Series,Japan,139
International Movies,Japan,72
International Movies,Mexico,70
Spanish-Language TV Shows,Mexico,47
Dramas,Mexico,44
International TV Shows,South Korea,149
Korean TV Shows,South Korea,128
Romantic TV Shows,South Korea,77
International Movies,Spain,140
Dramas,Spain,76
International TV Shows,Spain,51
British TV Shows,United Kingdom,208
Dramas,United Kingdom,197
International Movies,United Kingdom,170
Dramas,United States,835
Comedies,United States,680
Documentaries,United States,512
