year,genre,count
2020, International Movies,225
2021, International Movies,134
1993, Dramas,9
2018, International Movies,328
1996,Comedies,12
1998,Comedies,12
1997,Action & Adventure,11
2010, International Movies,73
2013, International Movies,118
2017, International Movies,316
1975, International Movies,5
1978, International Movies,4
1983, International Movies,8
1987,Action & Adventure,3
2012, International Movies,77
2001,Comedies,13
2014, International Movies,116
2002, International Movies,17
2003, International Movies,19
2004, International Movies,26
2011, International Movies,53
2008, International Movies,44
2009, International Movies,47
2007, International Movies,32
2005, International Movies,28
2006, International Movies,39
1994,Action & Adventure,8
2015, International Movies,203
2019, International Movies,258
2016, International Movies,288
1982, International Movies,10
1989, International Movies,5
1990,Action & Adventure,7
1991,Dramas,4
1999, International Movies,12
1986,Action & Adventure,6
1992,Action & Adventure,6
1984,Action & Adventure,6
1980,Action & Adventure,6
1961,Action & Adventure,1
2000,Comedies,9
1995,Action & Adventure,8
1985, International Movies,7
1976,Action & Adventure,4
1959,Dramas,1
1988,Comedies,5
1981, International Movies,5
1972, Dramas,2
1964,Classic Movies,2
1945,Classic Movies,3
1954,Children & Family Movies,1
1979, International Movies,4
1958,Classic Movies,3
1956,Classic Movies,1
1963,Action & Adventure,1
1970, International Movies,2
1973, International Movies,5
1925,TV Shows,1
1974,Comedies,2
1960, Dramas,3
1966,Dramas,1
1971,Classic Movies,3
1962, Dramas,3
1969,Dramas,1
1977, International Movies,2
1967, Dramas,4
1968, Classic Movies,2
1965,Classic Movies,2
1946,Classic Movies,1
1942,Classic Movies,2
1955,Classic Movies,3
1944,Classic Movies,3
1947,Classic Movies,1
1943,Documentaries,2
