year,rating,count
2020,PG-13,21
2020,TV-MA,469
2020,TV-Y7,41
2020,TV-14,174
2020,TV-Y,59
2020,TV-PG,80
2020,TV-G,45
2020,R,48
2020,PG,15
2020,G,1
2021,TV-MA,270
2021,PG,11
2021,TV-14,151
2021,PG-13,14
2021,TV-PG,45
2021,TV-Y,26
2021,TV-Y7,33
2021,TV-G,21
2021,R,21
1993,TV-MA,4
1993,R,6
1993,PG,4
1993,TV-Y7,1
1993,PG-13,4
1993,TV-G,1
1993,TV-14,6
1993,TV-PG,2
2018,TV-14,268
2018,TV-Y7,40
2018,TV-MA,549
2018,PG,31
2018,G,2
2018,TV-PG,105
2018,PG-13,30
2018,TV-Y,41
2018,R,52
2018,TV-G,26
2018,NR,1
2018,NC-17,1
2018,TV-Y7-FV,1
1996,TV-PG,2
1996,PG-13,6
1996,R,9
1996,TV-14,4
1996,TV-Y7,2
1996,PG,1
1998,TV-14,8
1998,R,9
1998,PG-13,7
1998,TV-MA,7
1998,TV-PG,2
1998,G,1
1998,TV-G,1
1998,TV-Y7,1
1997,TV-PG,1
1997,R,16
1997,PG-13,9
1997,TV-Y,1
1997,PG,1
1997,TV-14,4
1997,TV-MA,3
1997,TV-G,2
1997,TV-Y7,1
2010,PG-13,26
2010,TV-14,50
2010,PG,8
2010,TV-MA,42
2010,TV-Y7,8
2010,R,26
2010,TV-Y,6
2010,TV-PG,20
2010,84 min,1
2010,NR,4
2010,TV-G,3
2013,PG-13,15
2013,TV-14,75
2013,TV-Y7,20
2013,R,41
2013,TV-MA,64
2013,TV-PG,29
2013,TV-Y,5
2013,PG,14
2013,TV-G,13
2013,NC-17,1
2013,NR,9
2013,,1
2013,TV-Y7-FV,1
2017,PG-13,32
2017,TV-Y7,37
2017,TV-14,251
2017,R,73
2017,TV-MA,451
2017,TV-PG,111
2017,TV-Y,31
2017,PG,15
2017,TV-G,26
2017,G,1
2017,74 min,1
2017,,1
2017,NR,2
1975,PG,2
1975,TV-14,2
1975,TV-PG,1
1975,TV-MA,2
1978,PG,2
1978,TV-PG,1
1978,TV-G,1
1978,TV-MA,2
1978,R,1
1983,PG,1
1983,TV-MA,4
1983,TV-14,6
1987,PG-13,2
1987,R,2
1987,TV-14,1
1987,TV-MA,1
1987,TV-PG,1
1987,NR,1
2012,R,29
2012,TV-Y7,15
2012,TV-MA,54
2012,PG-13,19
2012,TV-14,73
2012,PG,7
2012,TV-Y,8
2012,TV-PG,23
2012,TV-G,3
2012,NR,5
2012,TV-Y7-FV,1
2001,R,14
2001,TV-PG,2
2001,PG,5
2001,TV-14,9
2001,PG-13,8
2001,TV-MA,2
2001,G,2
2001,TV-Y7,2
2001,TV-G,1
2014,TV-PG,47
2014,TV-G,7
2014,TV-MA,79
2014,R,49
2014,TV-14,99
2014,TV-Y7,12
2014,PG-13,19
2014,PG,15
2014,TV-Y,14
2014,NC-17,1
2014,NR,7
2014,TV-Y7-FV,1
2014,G,2
2002,TV-14,11
2002,TV-MA,7
2002,PG-13,14
2002,R,12
2002,TV-PG,2
2002,PG,4
2002,TV-Y7,1
2003,TV-14,16
2003,R,16
2003,PG-13,10
2003,TV-MA,8
2003,TV-Y7,2
2003,TV-PG,3
2003,PG,5
2003,TV-Y,1
2004,TV-PG,10
2004,PG,8
2004,TV-14,15
2004,R,7
2004,PG-13,7
2004,TV-MA,10
2004,TV-Y,1
2004,G,3
2004,NR,2
2004,TV-Y7,1
2011,TV-14,55
2011,PG-13,23
2011,TV-MA,27
2011,R,20
2011,TV-Y7,11
2011,PG,18
2011,TV-PG,18
2011,TV-Y,8
2011,TV-G,2
2011,NR,2
2011,G,1
2008,TV-PG,9
2008,PG,10
2008,PG-13,24
2008,TV-MA,25
2008,TV-14,38
2008,R,19
2008,TV-G,4
2008,TV-Y7,4
2008,TV-Y,2
2008,UR,1
2009,TV-PG,16
2009,PG,10
2009,TV-14,48
2009,TV-Y7,5
2009,PG-13,25
2009,R,25
2009,TV-MA,18
2009,G,4
2009,TV-G,1
2007,TV-PG,6
2007,PG-13,15
2007,TV-MA,17
2007,R,14
2007,PG,10
2007,TV-Y7,3
2007,TV-14,18
2007,TV-Y,2
2007,G,1
2007,NR,2
2005,TV-PG,10
2005,PG-13,16
2005,TV-14,26
2005,TV-MA,8
2005,TV-Y7,3
2005,PG,5
2005,R,10
2005,G,2
2006,TV-PG,10
2006,PG-13,15
2006,TV-14,31
2006,R,12
2006,TV-MA,17
2006,PG,8
2006,TV-Y7,2
2006,NR,1
1994,TV-PG,2
1994,TV-14,7
1994,PG-13,4
1994,R,4
1994,PG,3
1994,TV-MA,1
1994,TV-G,1
2015,TV-PG,63
2015,R,67
2015,TV-MA,184
2015,PG-13,25
2015,TV-14,144
2015,TV-Y7,14
2015,PG,11
2015,TV-Y,20
2015,TV-G,11
2015,66 min,1
2015,NR,18
2015,,2
2019,TV-Y,50
2019,TV-MA,500
2019,TV-Y7,36
2019,TV-14,252
2019,TV-G,23
2019,PG-13,19
2019,R,39
2019,TV-PG,98
2019,PG,12
2019,G,1
2016,TV-Y,31
2016,TV-MA,341
2016,TV-14,218
2016,TV-PG,97
2016,R,86
2016,PG,14
2016,PG-13,34
2016,TV-Y7,33
2016,TV-G,22
2016,G,3
2016,NR,20
2016,TV-Y7-FV,2
2016,UR,1
1982,R,3
1982,TV-MA,2
1982,TV-14,8
1982,TV-PG,2
1982,PG,2
1989,R,1
1989,PG,3
1989,PG-13,2
1989,TV-MA,2
1989,TV-14,4
1989,TV-PG,2
1989,G,1
1989,TV-Y7,1
1990,R,4
1990,PG-13,4
1990,TV-14,9
1990,TV-MA,3
1990,TV-PG,1
1990,PG,1
1991,R,2
1991,PG-13,2
1991,TV-MA,5
1991,TV-14,2
1991,TV-PG,1
1991,G,1
1991,TV-G,1
1991,NR,2
1991,PG,1
1999,R,10
1999,PG-13,8
1999,PG,2
1999,TV-MA,5
1999,TV-14,6
1999,TV-Y7,2
1999,TV-G,2
1999,G,2
1999,TV-PG,2
1986,PG,2
1986,PG-13,2
1986,TV-14,5
1986,TV-MA,1
1986,G,1
1986,R,2
1992,TV-PG,2
1992,PG,3
1992,R,11
1992,TV-MA,3
1992,TV-14,2
1992,TV-Y,1
1992,PG-13,1
1984,R,1
1984,PG,4
1984,TV-14,5
1984,TV-MA,1
1984,PG-13,1
1980,R,5
1980,TV-14,4
1980,TV-PG,1
1980,PG,1
1961,TV-14,1
2000,PG-13,10
2000,R,8
2000,PG,4
2000,TV-PG,5
2000,G,2
2000,TV-MA,1
2000,TV-14,5
2000,TV-Y7,2
1995,TV-14,4
1995,R,4
1995,PG-13,10
1995,TV-MA,1
1995,G,1
1995,TV-PG,2
1995,PG,2
1995,TV-G,1
1985,TV-MA,3
1985,TV-14,5
1985,NR,1
1985,PG,1
1976,TV-MA,1
1976,PG,4
1976,TV-PG,2
1976,R,1
1976,TV-14,1
1959,TV-14,1
1988,R,5
1988,TV-14,3
1988,TV-PG,6
1988,TV-MA,1
1988,PG-13,3
1981,TV-14,5
1981,PG,2
1981,R,2
1981,TV-PG,1
1981,TV-Y7,1
1981,TV-MA,1
1981,NR,1
1972,TV-MA,2
1972,TV-PG,1
1972,TV-14,1
1972,R,1
1964,G,1
1964,TV-14,1
1945,TV-MA,2
1945,TV-14,2
1954,TV-G,1
1954,TV-14,1
1979,TV-14,3
1979,TV-MA,2
1979,R,2
1979,PG-13,1
1979,TV-PG,2
1979,PG,1
1958,TV-14,1
1958,NR,1
1958,G,1
1956,TV-14,1
1956,G,1
1963,TV-MA,1
1963,TV-14,1
1970,TV-MA,1
1970,TV-PG,1
1973,TV-14,3
1973,G,1
1973,PG,1
1973,R,3
1973,TV-MA,1
1973,NR,1
1925,TV-14,1
1974,TV-14,2
1974,PG,1
1974,UR,1
1974,TV-PG,1
1974,R,2
1960,TV-PG,2
1960,TV-14,2
1966,TV-PG,1
1971,TV-14,2
1971,R,1
1971,G,2
1962,TV-PG,2
1962,R,1
1969,TV-PG,1
1969,G,1
1977,TV-MA,1
1977,PG,2
1977,TV-14,1
1977,TV-PG,2
1977,G,1
1967,R,2
1967,TV-14,1
1967,TV-G,1
1967,TV-MA,1
1968,G,1
1968,PG-13,1
1968,R,1
1965,PG-13,1
1965,TV-14,1
1946,TV-PG,1
1946,TV-14,1
1942,TV-14,2
1955,PG-13,1
1955,TV-PG,1
1955,TV-14,1
1944,TV-PG,1
1944,TV-14,2
1947,TV-PG,1
1943,TV-PG,3
